GEO_ID,NAME,P002001,P002001ERR,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002013,P002014,P002015,P002016,P002017,P002018,P002019,P002020,P002021,P002022,P002023,P002024,P002025,P002026,P002027,P002028,P002029,P002030,P002031,P002032,P002033,P002034,P002035,P002036,P002037,P002038,P002039,P002040,P002041,P002042,P002043,P002044,P002045,P002046,P002047,P002048,P002049,P002050,P002051,P002052,P002053,P002054,P002055,P002056,P002057,P002058,P002059,P002060,P002061,P002062,P002063,P002064,P002065,P002066,P002067,P002068,P002069,P002070,P002071,P002072,P002073
1400000US17031801605,"Census Tract 8016.05, Cook County, Illinois",5599,null,112,5487,5439,4737,21,2,674,0,5,48,48,5,1,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801606,"Census Tract 8016.06, Cook County, Illinois",6066,null,130,5936,5878,5038,39,5,795,0,1,58,51,8,4,33,0,0,0,0,1,0,1,0,0,1,3,0,7,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801607,"Census Tract 8016.07, Cook County, Illinois",5287,null,201,5086,5014,3645,60,2,1297,0,10,72,69,3,3,48,0,2,0,1,1,0,0,0,0,1,10,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801608,"Census Tract 8016.08, Cook County, Illinois",6564,null,150,6414,6366,5091,33,1,1234,0,7,48,47,1,5,29,2,0,0,0,0,0,2,0,0,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801701,"Census Tract 8017.01, Cook County, Illinois",3728,null,104,3624,3576,3257,1,2,313,0,3,48,36,2,2,26,1,2,0,0,0,0,0,0,0,1,2,0,12,6,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801702,"Census Tract 8017.02, Cook County, Illinois",4671,null,113,4558,4496,4064,15,0,417,0,0,62,62,7,2,48,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801800,"Census Tract 8018, Cook County, Illinois",5619,null,163,5456,5401,4921,44,1,429,1,5,55,52,6,7,29,2,3,0,1,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801901,"Census Tract 8019.01, Cook County, Illinois",4369,null,649,3720,3674,3252,70,4,338,2,8,46,44,5,8,24,0,4,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031801902,"Census Tract 8019.02, Cook County, Illinois",3223,null,116,3107,3072,2895,4,0,172,1,0,35,35,2,3,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US17031802002,"Census Tract 8020.02, Cook County, Illinois",5071,null,260,4811,4759,4132,44,4,575,2,2,52,52,9,0,39,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
